geo,lmia_high_wage_threshold,effective_date,source
Alberta,36,27/6/2025,ESDC Canada
British Columbia,36.6,27/6/2025,ESDC Canada
Manitoba,30.16,27/6/2025,ESDC Canada
New Brunswick,30,27/6/2025,ESDC Canada
Newfoundland and Labrador,32.4,27/6/2025,ESDC Canada
Northwest Territories,48,27/6/2025,ESDC Canada
Nova Scotia,30,27/6/2025,ESDC Canada
Nunavut,42,27/6/2025,ESDC Canada
Ontario,36,27/6/2025,ESDC Canada
Prince Edward Island,30,27/6/2025,ESDC Canada
Quebec,34.62,27/6/2025,ESDC Canada
Saskatchewan,33.6,27/6/2025,ESDC Canada
Yukon,44.4,27/6/2025,ESDC Canada
Canada,34,27/6/2025,ESDC Canada
